Description	ID	Physalia	Nanomia	Agalma	Abylopsis	Craseoa	Hydra	Nematostella
692	692	1	2	3	1	2	1	1
693	693	2	2	2	0	3	1	1
694	694	1	1	1	1	1	5	1
695	695	2	1	2	1	2	1	1
696	696	2	1	2	1	2	3	0
697	697	4	1	1	2	1	1	1
698	698	2	1	1	1	1	1	1
699	699	2	1	1	1	1	1	1
700	700	3	1	3	1	1	1	1
701	701	1	2	2	1	2	1	2
702	702	1	1	1	2	2	1	2
703	703	2	2	2	1	2	1	1
704	704	1	1	1	1	2	2	2
705	705	2	1	1	1	1	1	4
706	706	0	1	2	0	3	2	3
707	707	1	3	2	0	3	1	1
708	708	2	1	1	1	1	1	1
709	709	3	1	1	1	1	2	2
710	710	1	1	1	1	1	1	1
711	711	1	5	2	1	2	0	0
712	712	2	2	2	3	1	1	0
713	713	3	1	1	1	2	2	1
714	714	4	1	2	1	1	1	1
715	715	1	2	1	3	1	2	1
716	716	2	2	3	1	1	1	1
717	717	3	1	1	1	1	1	3
718	718	2	1	1	1	1	1	1
719	719	1	2	1	1	3	2	1
720	720	2	2	1	1	3	1	1
721	721	3	1	1	2	1	1	1
722	722	2	2	1	2	2	1	1
723	723	0	2	1	2	4	1	1
724	724	2	1	1	2	1	2	2
725	725	3	2	1	1	2	1	1
726	726	1	1	1	3	4	1	0
727	727	0	1	2	1	2	1	3
728	728	1	1	1	2	1	2	3
729	729	2	1	2	0	3	1	2
730	730	2	2	1	1	3	1	1
731	731	1	2	1	2	2	1	2
732	732	2	1	1	2	3	1	1
733	733	2	1	1	1	2	1	3
734	734	3	2	2	1	1	1	1
735	735	2	2	3	1	1	1	1
736	736	2	1	3	0	1	1	3
737	737	1	2	2	2	2	2	0
738	738	2	3	2	1	1	1	1
739	739	1	2	1	1	2	1	2
740	740	1	1	1	1	5	1	1
741	741	2	2	1	1	2	1	2
742	742	2	1	1	3	2	1	1
743	743	2	1	2	1	1	2	2
744	744	2	1	1	3	2	1	1
745	745	1	1	1	3	1	1	1
746	746	2	1	1	1	1	1	2
747	747	2	2	1	2	2	1	1
748	748	2	2	1	2	1	1	1
749	749	1	2	2	2	2	1	1
750	750	1	1	1	1	4	1	1
751	751	4	1	1	2	1	1	1
752	752	1	1	1	1	1	1	1
