model_id,gene,isoform
3119692,DN28806_c0_g1,1
3119693,DN28871_c0_g1,1
3119694,DN28871_c0_g2,1
3119695,DN28802_c0_g1,1
3119696,DN28899_c0_g1,1
3119697,DN28899_c0_g2,1
3119698,DN28899_c0_g3,1
3119699,DN28891_c0_g1,1
3119700,DN28891_c0_g2,1
3119701,DN28888_c0_g1,1
3119702,DN28821_c0_g1,1
3119703,DN28821_c0_g2,1
3119704,DN28886_c0_g1,1
3119705,DN28876_c0_g1,1
3119706,DN28801_c0_g1,1
3119707,DN28883_c0_g1,1
3119708,DN28829_c0_g1,1
3119709,DN28829_c0_g2,1
3119710,DN28868_c0_g1,1
3119711,DN28861_c0_g1,1
3119712,DN28851_c0_g1,1
3119713,DN28879_c0_g1,1
3119714,DN28858_c0_g1,1
3119715,DN28816_c0_g1,1
3119716,DN28816_c0_g2,1
3119717,DN28844_c0_g1,1
3119718,DN28832_c0_g1,1
3119719,DN28897_c0_g1,1
3119720,DN28897_c0_g2,1
3119721,DN28845_c0_g1,1
3119722,DN28810_c0_g1,1
3119723,DN28853_c0_g1,1
3119724,DN28835_c0_g1,1
3119725,DN28872_c0_g1,1
3119726,DN28894_c0_g1,1
3119727,DN28895_c0_g1,1
3119728,DN28893_c0_g1,1
3119729,DN28874_c0_g1,1
3119730,DN28889_c0_g1,1
3119731,DN28889_c0_g2,1
3119732,DN28890_c0_g1,1
3119733,DN28856_c0_g1,1
3119734,DN28831_c0_g1,1
3119735,DN28839_c0_g1,1
