model_id,gene,isoform
241731,DN3833_c0_g1,2
241732,DN3815_c0_g1,1
241733,DN3800_c0_g1,1
241734,DN3800_c0_g2,1
241735,DN3892_c0_g1,1
241736,DN3892_c0_g2,1
241737,DN3863_c0_g1,1
241738,DN3863_c0_g1,2
241739,DN3865_c0_g1,1
241740,DN3884_c0_g1,1
241741,DN3822_c0_g1,1
241742,DN3822_c0_g2,1
241743,DN3851_c0_g1,1
241744,DN3856_c0_g1,1
241745,DN3882_c0_g1,1
241746,DN3893_c0_g1,1
241747,DN3834_c0_g1,1
241748,DN3834_c0_g2,1
241749,DN3877_c0_g1,1
241750,DN3848_c0_g1,1
241751,DN3871_c0_g1,1
241752,DN3810_c0_g1,1
241753,DN3810_c0_g2,1
241754,DN3819_c0_g1,1
241755,DN3819_c0_g1,2
241756,DN3896_c0_g1,1
241757,DN3846_c0_g1,1
241758,DN3823_c0_g1,1
241759,DN3876_c0_g1,1
241760,DN3876_c0_g2,1
241761,DN3821_c0_g1,1
241762,DN3895_c0_g1,1
241763,DN3881_c0_g1,1
241764,DN3858_c0_g1,1
241765,DN3807_c0_g1,1
241766,DN3886_c0_g1,1
241767,DN3843_c0_g1,1
241768,DN3832_c0_g1,1
241769,DN3841_c0_g1,1
241770,DN3841_c0_g1,2
241771,DN3854_c0_g1,1
241772,DN3854_c0_g2,1
241773,DN3802_c0_g1,1
241774,DN3824_c0_g1,1
241775,DN3824_c0_g2,1
241776,DN3831_c0_g1,1
241777,DN3817_c0_g1,1
241778,DN3817_c0_g2,1
241779,DN3894_c0_g1,1
241780,DN3872_c0_g1,1
241781,DN3872_c0_g1,2
241782,DN3860_c0_g1,1
241783,DN3814_c0_g1,1
241784,DN3814_c0_g2,1
241785,DN3805_c0_g1,1
241786,DN3859_c0_g1,1
241787,DN3880_c0_g1,1
241788,DN3830_c0_g1,1
241789,DN3820_c0_g1,1
241790,DN3804_c0_g1,1
241791,DN3838_c0_g1,1
241792,DN3844_c0_g1,1
241793,DN3809_c0_g1,1
241794,DN3873_c0_g1,1
241795,DN3874_c0_g1,1
241796,DN3879_c0_g1,1
241797,DN3879_c0_g1,2
241798,DN3837_c0_g1,1
241799,DN3842_c0_g1,1
241800,DN3842_c0_g2,1
241801,DN3868_c0_g1,1
241802,DN3868_c0_g1,2
241803,DN3811_c0_g1,1
241804,DN3811_c0_g2,1
241805,DN11681_c0_g1,1
241806,DN11603_c0_g1,1
241807,DN11606_c0_g1,1
241808,DN11667_c0_g1,1
241809,DN11633_c0_g1,1
241810,DN11636_c0_g1,1
241811,DN11621_c0_g1,1
241812,REASSIGN.62,1
241813,DN11660_c0_g1,1
241814,DN11693_c0_g1,1
241815,DN11649_c0_g1,1
241816,DN11658_c0_g1,1
241817,DN11691_c0_g1,1
241818,DN11672_c0_g1,1
241819,DN11628_c0_g1,1
241820,DN11669_c0_g1,1
241821,DN11677_c0_g1,1
241822,DN11602_c0_g1,1
241823,DN11688_c0_g1,1
241824,DN11600_c0_g1,1
241825,DN11627_c0_g1,1
241826,DN11610_c0_g1,1
241827,DN11680_c0_g1,1
241828,DN11684_c0_g1,1
241829,DN11673_c0_g1,1
241830,DN11613_c0_g1,1
241831,DN11635_c0_g1,1
241832,DN11664_c0_g1,1
241833,DN11657_c0_g1,1
241834,DN11671_c0_g1,1
241835,DN11683_c0_g1,1
241836,DN11675_c0_g1,1
241837,DN11651_c0_g1,1
241838,DN11689_c0_g1,1
241839,DN11632_c0_g1,1
241840,DN11622_c0_g1,1
241841,DN11609_c0_g1,1
241842,DN11697_c0_g1,1
241843,DN11629_c0_g1,1
241844,DN11686_c0_g1,1
241845,DN11678_c0_g1,1
241846,DN11619_c0_g1,1
241847,DN11666_c0_g1,1
241848,DN11659_c0_g1,1
241849,DN11682_c0_g1,1
241850,DN11644_c0_g1,1
241851,DN11656_c0_g1,1
241852,DN11625_c0_g1,1
241853,DN11616_c0_g1,1
241854,DN11623_c0_g1,1
241855,DN11663_c0_g1,1
241856,DN11648_c0_g1,1
241857,DN11637_c0_g1,1
241858,DN11604_c0_g1,1
241859,DN11699_c0_g1,1
241860,DN11641_c0_g1,1
241861,DN11638_c0_g1,1
241862,DN11670_c0_g1,1
241863,DN11626_c0_g1,1
241864,DN11618_c0_g1,1
241865,DN11608_c0_g1,1
241866,DN11631_c0_g1,1
241867,DN11630_c0_g1,1
241868,DN11612_c0_g1,1
241869,DN11643_c0_g1,1
241870,DN11601_c0_g1,1
241871,DN11605_c0_g1,1
241872,DN11661_c0_g1,1
241873,DN11696_c0_g1,1
241874,DN11685_c0_g1,1
241875,DN11607_c0_g1,1
241876,DN11665_c0_g1,1
241877,DN11698_c0_g1,1
241878,DN11692_c0_g1,1
241879,DN11650_c0_g1,1
241880,DN11690_c0_g1,1
241881,DN11653_c0_g1,1
241882,DN11645_c0_g1,1
241883,DN11668_c0_g1,1
241884,DN11611_c0_g1,1
241885,DN11687_c0_g1,1
241886,DN11615_c0_g1,1
241887,DN11624_c0_g1,1
241888,DN11655_c0_g1,1
241889,DN11640_c0_g1,1
241890,DN11694_c0_g1,1
241891,DN11652_c0_g1,1
241892,DN11614_c0_g1,1
241893,DN11662_c0_g1,1
241894,DN11674_c0_g1,1
241895,DN11617_c0_g1,1
241896,DN11647_c0_g1,1
241897,DN11639_c0_g1,1
241898,DN11676_c0_g1,1
241899,DN11634_c0_g1,1
241900,DN11620_c0_g1,1
241901,DN11679_c0_g1,1
241902,DN11642_c0_g1,1
241903,DN11646_c0_g1,1
241904,DN11695_c0_g1,1
241905,DN2973_c0_g1,1
241906,DN2915_c0_g1,1
241907,DN2984_c0_g1,1
241908,DN2967_c0_g1,1
241909,DN2996_c0_g1,1
241910,DN2996_c0_g2,1
241911,DN2946_c0_g1,1
